STITCH,atc5,atc_idx
CID000004011,N06AA21,1168
CID000071273,N01BB09,1251
CID000062816,C10AC02,141
CID000052421,D07AC18,966
CID000056339,N03AB05,578
CID000077992,N02CC07,1195
CID000005300,L01AD04,1366
CID000222786,H02AB10,900
CID000222786,S01BA03,901
CID000071301,C07AB12,1257
CID000004873,A12BA01,344
CID000004873,B05XA01,341
CID000002142,D06AX12,1357
CID000002142,J01GB06,1358
CID000002142,S01AA21,1359
CID000002141,V03AF05,1793
CID000131536,J05AE07,1197
CID000001775,N03AB02,581
CID000001775,N03AB05,578
CID000005454,N05AF04,1185
CID000003308,M01AB08,720
CID000004909,N03AA03,1283
CID000004908,P01BA03,263
CID000002099,A03AE01,406
CID000054688,J01FA09,380
CID000002092,G04CA01,1418
CID000004536,G03AC01,234
CID006918453,M01CB03,1640
CID000003706,J05AE02,76
CID000005408,G03BA02,834
CID000005408,G03BA03,134
CID000005408,G03EK01,835
CID000004497,C08CA06,1449
CID000004493,L02BB02,1693
CID000003219,S01GX06,478
CID000002435,S01EA05,260
CID000040159,P03AC04,1150
CID000005878,A14AA08,1054
CID000002554,N03AF01,627
CID000002550,C09AA01,899
CID000002551,N07AB01,465
CID000002551,S01EB02,466
CID000443871,A10BX03,617
CID000003059,N02BA11,708
CID000019090,G03AC05,442
CID000019090,G03DB02,443
CID000019090,L02AB01,444
CID000059768,C07AB09,1392
CID004183806,A02BB01,291
CID000176870,L01XE03,793
CID000004473,C08CA04,928
CID000003440,C03CA01,433
CID000003449,N06DA04,388
CID000003685,L01DB06,161
CID000003937,C09AA03,62
CID004630253,D07AB10,957
CID004630253,S01BA10,958
CID000018140,L01XX11,159
CID000000727,P03AB02,1719
CID004475485,C10AA07,1099
CID000077993,N02CC06,360
CID000148211,A04AA05,924
CID000002153,R03DA04,875
CID000002153,R03DA05,1249
CID000002156,C01BD01,949
CID000008953,B05XA02,340
CID000008953,B05CB04,339
CID000005203,N06AB06,354
CID000005206,N01AB08,608
CID005281104,H05BX02,596
CID000004917,N05AB04,1203
CID000004914,D04AB03,1464
CID000004914,N01BA04,907
CID000004914,S01HA02,1465
CID000004914,C01BA02,1237
CID000004913,C01BA02,1237
CID000003339,C10AB05,602
